UPC,LONG PRODUCT DESCRIPTION,BC CATEGORY,BC SUB CATEGORY,BC SEGMENT,RANDOM WEIGHT,BRAND OWNER HIGH,BASE SIZE,HW ORGANIC,PACK SIZE
201901962756,CTL BR YLW ONN DCD TUB 6 OZ,ONIONS,VALUE ADD,MEAL PREP,NO,PRIVATE LABEL,6 OUNCE,NOT APPLICABLE,NOT APPLICABLE
063094340500,INCR FRS YLW ONN DCD MLDD TRY 8 OZ,ONIONS,VALUE ADD,MEAL PREP,NO,COLLIER COUNTY PRODUCE INC,8 OUNCE,NOT APPLICABLE,NOT APPLICABLE
089934000144,FV STR WHT PRL ONN WHL BAG ON CRD 10 OZ,ONIONS,PEARL,WHOLE,NO,DAN GRAIFF FARMS LLC,10 OUNCE,NOT APPLICABLE,NOT APPLICABLE
085955500141,RL SWT YLW ONN WHL BAG 48 OZ,ONIONS,SWEET,WHOLE,NO,SHUMAN PRODUCE INC,48 OUNCE,NOT APPLICABLE,NOT APPLICABLE
427582875176,MLTP VL CPLN ONN SNGL VGTB 16 OZ,ONIONS,SWEET,WHOLE,YES,MULTIPLE BRANDS,16 OUNCE,NOT APPLICABLE,NOT APPLICABLE
082321500429,GRND GRM PRL ONN WHL BAG 10 OZ,ONIONS,PEARL,WHOLE,NO,GOURMET SPECIALTY IMPORTS LLC,10 OUNCE,NOT APPLICABLE,NOT APPLICABLE
307582804658,MLTP VL WHT BLNG ONN SNGL VGTB 16 OZ,ONIONS,WHITE,WHOLE,YES,MULTIPLE BRANDS,16 OUNCE,NOT APPLICABLE,NOT APPLICABLE
427582863573,MLTP VL SWT ONN WHL PLD SNGL VGTB 16 OZ,ONIONS,VALUE ADD,MEAL PREP,YES,MULTIPLE BRANDS,16 OUNCE,NOT APPLICABLE,NOT APPLICABLE
009605260002,MNTN PRD YLW ONN WHL BAG 48 OZ,ONIONS,YELLOW,WHOLE,NO,FAGERBERG PRODUCE COMPANY,48 OUNCE,NOT APPLICABLE,NOT APPLICABLE
085955500139,VDL SWT ONN SNGL VGTB 16 OZ,ONIONS,SWEET,WHOLE,YES,NO COMPANY LISTED,16 OUNCE,NOT APPLICABLE,NOT APPLICABLE
084592000127,GRDN GRV FRM YLW ONN ORGN CRTF ORGN BY OEF WHL BAG 48 OZ,ONIONS,YELLOW,WHOLE,NO,PRODUCE PACKAGING LTD.,48 OUNCE,ORGANIC,NOT APPLICABLE
085153300338,YLW ONN 1 CT,ONIONS,YELLOW,WHOLE,NO,NO COMPANY LISTED,1 COUNT,NOT APPLICABLE,NOT APPLICABLE
081522201004,MLTP VL SWT ONN SNGL VGTB 16 OZ,ONIONS,SWEET,WHOLE,YES,MULTIPLE BRANDS,16 OUNCE,NOT APPLICABLE,NOT APPLICABLE
307582894667,MLTP VL ONN ORGN SNGL VGTB 16 OZ,ONIONS,REMAINING ONIONS,WHOLE,YES,MULTIPLE BRANDS,16 OUNCE,ORGANIC,NOT APPLICABLE
003338300515,MLTP VL SWT ONN SNGL VGTB BAG 16 OZ,ONIONS,SWEET,WHOLE,YES,MULTIPLE BRANDS,16 OUNCE,NOT APPLICABLE,NOT APPLICABLE
003260103210,EART FRM RED ONN ORGN CRTF ORGN BY CF WHL BAG 48 OZ,ONIONS,RED,WHOLE,NO,TAYLOR FRESH FOODS INC,48 OUNCE,ORGANIC,NOT APPLICABLE
307582803286,MLTP VL SWT ITLN RED ONN SNGL VGTB 16 OZ,ONIONS,SWEET,WHOLE,YES,MULTIPLE BRANDS,16 OUNCE,NOT APPLICABLE,NOT APPLICABLE
201305019397,CTL BR YLW ONN ORGN CRTF ORGN BY PRMS LBS WHL BAG 48 OZ,ONIONS,YELLOW,WHOLE,NO,PRIVATE LABEL,48 OUNCE,ORGANIC,NOT APPLICABLE
001220600006,OSWG YLW ONN WHL BAG 32 OZ,ONIONS,YELLOW,WHOLE,NO,OSWEGO GROWERS & SHIPPERS INC.,32 OUNCE,NOT APPLICABLE,NOT APPLICABLE
002630360186,G & R FRM VDL ONN WHL BAG 96 OZ,ONIONS,SWEET,WHOLE,NO,G & R FARMS,96 OUNCE,NOT APPLICABLE,NOT APPLICABLE
068896201508,VRST VGS YLW ONN DCD MLDD TRY 8 OZ,ONIONS,VALUE ADD,MEAL PREP,NO,WALTER P. RAWL & SONS INC,8 OUNCE,NOT APPLICABLE,NOT APPLICABLE
007451506010,MLTP VL RED ONN SNGL VGTB 16 OZ,ONIONS,RED,WHOLE,YES,MULTIPLE BRANDS,16 OUNCE,NOT APPLICABLE,NOT APPLICABLE
200664176645,CTL BR RED ONN DCD CRTF ORGN BY PRO CRT ORGN MLDD TRY 7 OZ,ONIONS,VALUE ADD,MEAL PREP,NO,PRIVATE LABEL,7 OUNCE,ORGANIC,NOT APPLICABLE
201666131460,CTL BR YLW ONN CHPD BAG 8 OZ,ONIONS,VALUE ADD,MEAL PREP,NO,PRIVATE LABEL,8 OUNCE,NOT APPLICABLE,NOT APPLICABLE
